Context,Response,Context_ID,Response_ID,Context_clean,Response_clean
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","If everyone thinks you're worthless, then maybe you need to find new people to hang out with.Seriously, the social context in which a person lives is a big influence in self-esteem.Otherwise, you can go round and round trying to understand why you're not worthless, then go back to the same crowd and be knocked down again.There are many inspirational messages you can find in social media.  Maybe read some of the ones which state that no person is worthless, and that everyone has a good purpose to their life.Also, since our culture is so saturated with the belief that if someone doesn't feel good about themselves that this is somehow terrible.Bad feelings are part of living.  They are the motivation to remove ourselves from situations and relationships which do us more harm than good.Bad feelings do feel terrible.   Your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today.","Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri. Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.
   Saya belum pernah mencoba atau berpikir untuk bunuh diri. Saya selalu ingin memperbaiki masalah saya, tapi saya tidak pernah sempat melakukannya.
   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Jika semua orang berpikir Anda tidak berharga, maka mungkin Anda perlu mencari orang baru untuk diajak bergaul. Serius, konteks sosial di mana seseorang tinggal adalah pengaruh besar dalam harga diri. Jika tidak, Anda bisa berputar-putar mencoba memahami mengapa Anda tidak berharga, lalu kembali ke kerumunan yang sama dan terjatuh lagi. Ada banyak pesan inspiratif yang bisa Anda temukan di media sosial.  Mungkin membaca beberapa yang menyatakan bahwa tidak ada orang yang tidak berharga, dan bahwa setiap orang memiliki tujuan yang baik dalam hidupnya. Selain itu, karena budaya kita begitu jenuh dengan keyakinan bahwa jika seseorang tidak merasa nyaman dengan dirinya sendiri, maka ini adalah hal yang buruk. Perasaan buruk adalah bagian dari kehidupan.  Itu adalah motivasi untuk menjauhkan diri kita dari situasi dan hubungan yang lebih merugikan kita daripada kebaikan. Perasaan buruk memang terasa tidak enak.   Perasaan tidak berharga Anda mungkin baik dalam artian memotivasi Anda untuk mengetahui bahwa Anda jauh lebih baik dari perasaan Anda saat ini.",going things feelings barely sleep nothing think worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,everyone thinks youre worthless maybe need find new people hang withseriously social context person lives big influence selfesteemotherwise round round trying understand youre worthless back crowd knocked againthere many inspirational messages find social media maybe read ones state person worthless everyone good purpose lifealso since culture saturated belief someone doesnt feel good somehow terriblebad feelings part living motivation remove situations relationships harm goodbad feelings feel terrible feeling worthlessness may good sense motivating find much better feelings today
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Hello, and thank you for your question and seeking advice on this. Feelings of worthlessness is unfortunately common. In fact, most people, if not all, have felt this to some degree at some point in their life. You are not alone. Changing our feelings is like changing our thoughts - it's hard to do. Our minds are so amazing that the minute you change your thought another one can be right there to take it's place. Without your permission, another thought can just pop in there. The new thought may feel worse than the last one! My guess is that you have tried several things to improve this on your own even before reaching out on here. People often try thinking positive thoughts, debating with their thoughts, or simply telling themselves that they need to ""snap out of it"" - which is also a thought that carries some self-criticism. Some people try a different approach, and there are counselors out there that can help you with this. The idea is that instead of trying to change the thoughts, you change how you respond to them. You learn skills that allow you to manage difficult thoughts and feelings differently so they don't have the same impact on you that they do right now. For some people, they actually DO begin to experience less hurtful thoughts once they learn how to manage the ones they have differently. Acceptance and Commitment Therapy may be a good choice for you. There is information online and even self-help books that you can use to teach you the skills that I mentioned. Because they are skills, they require practice, but many people have found great relief and an enriched life by learning them. As for suicidal thoughts, I am very glad to read that this has not happened to you. Still, you should watch out for this because it can be a sign of a worsening depression. If you begin to think about this, it is important to reach out to a support system right away. The National Suicide Prevention Lifeline is 1-800-273-8255. The text line is #741741. I hope some other colleagues will provide you more suggestions. Be well...Robin Landwehr, DBH, LPCC","Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri. Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.
   Saya belum pernah mencoba atau berpikir untuk bunuh diri. Saya selalu ingin memperbaiki masalah saya, tapi saya tidak pernah sempat melakukannya.
   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Halo, dan terima kasih atas pertanyaan Anda dan meminta saran mengenai hal ini. Sayangnya, perasaan tidak berharga adalah hal biasa. Faktanya, sebagian besar orang, jika tidak semua, pernah merasakan hal ini sampai taraf tertentu dalam hidup mereka. Anda tidak sendirian. Mengubah perasaan kita seperti mengubah pikiran kita – sulit dilakukan. Pikiran kita begitu menakjubkan sehingga saat Anda mengubah pemikiran Anda, pikiran lain akan segera menggantikannya. Tanpa izin Anda, pemikiran lain bisa saja muncul di sana. Pikiran baru ini mungkin terasa lebih buruk daripada yang sebelumnya! Dugaan saya adalah Anda telah mencoba beberapa hal untuk memperbaikinya sendiri bahkan sebelum menghubungi kami di sini. Orang sering kali mencoba memikirkan hal-hal positif, berdebat dengan pikiran mereka, atau sekadar mengatakan pada diri sendiri bahwa mereka perlu ""keluar dari situ"" - yang juga merupakan pemikiran yang mengandung kritik terhadap diri sendiri. Beberapa orang mencoba pendekatan yang berbeda, dan ada konselor di luar sana yang dapat membantu Anda dalam hal ini. Idenya adalah alih-alih mencoba mengubah pemikiran, Anda mengubah cara Anda meresponsnya. Anda mempelajari keterampilan yang memungkinkan Anda mengelola pikiran dan perasaan sulit secara berbeda sehingga dampaknya tidak sama pada Anda seperti saat ini. Bagi sebagian orang, mereka sebenarnya mulai mengalami pikiran-pikiran yang tidak terlalu menyakitkan setelah mereka belajar cara mengelola pikiran-pikiran yang mereka miliki secara berbeda. Terapi Penerimaan dan Komitmen mungkin merupakan pilihan yang baik untuk Anda. Ada informasi online dan bahkan buku self-help yang dapat Anda gunakan untuk mengajarkan Anda keterampilan yang saya sebutkan. Karena merupakan keterampilan, maka diperlukan latihan, namun banyak orang mendapatkan kelegaan dan kehidupan yang kaya dengan mempelajarinya. Mengenai pikiran untuk bunuh diri, saya sangat senang membaca bahwa hal ini tidak terjadi pada Anda. Meski begitu, Anda tetap harus mewaspadai hal ini karena bisa menjadi tanda depresi yang semakin parah. Jika Anda mulai memikirkan hal ini, penting untuk segera menghubungi sistem pendukung. Jalur Hidup Pencegahan Bunuh Diri Nasional adalah 1-800-273-8255. Baris teksnya adalah #741741. Saya berharap beberapa rekan lain akan memberi Anda lebih banyak saran. Baik-baik saja...Robin Landwehr, DBH, LPCC",going things feelings barely sleep nothing think worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,hello thank question seeking advice feelings worthlessness unfortunately common fact people felt degree point life alone changing feelings like changing thoughts hard minds amazing minute change thought another one right take place without permission another thought pop new thought may feel worse last one guess tried several things improve even reaching people often try thinking positive thoughts debating thoughts simply telling need snap also thought carries selfcriticism people try different approach counselors help idea instead trying change thoughts change respond learn skills allow manage difficult thoughts feelings differently dont impact right people actually begin experience less hurtful thoughts learn manage ones differently acceptance commitment therapy may good choice information online even selfhelp books use teach skills mentioned skills require practice many people found great relief enriched life learning suicidal thoughts glad read happened still watch sign worsening depression begin think important reach support system right away national suicide prevention lifeline text line hope colleagues provide suggestions wellrobin landwehr dbh lpcc
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",First thing I'd suggest is getting the sleep you need or it will impact how you think and feel. I'd look at finding what is going well in your life and what you can be grateful for. I believe everyone has talents and wants to find their purpose in life. I think you can figure it out with some help.,"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri. Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.
   Saya belum pernah mencoba atau berpikir untuk bunuh diri. Saya selalu ingin memperbaiki masalah saya, tapi saya tidak pernah sempat melakukannya.
   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?",Hal pertama yang saya sarankan adalah mendapatkan tidur yang Anda butuhkan atau hal itu akan memengaruhi cara Anda berpikir dan merasakan. Saya akan mencari tahu apa yang berjalan baik dalam hidup Anda dan apa yang dapat Anda syukuri. Saya percaya setiap orang memiliki bakat dan ingin menemukan tujuan hidupnya. Saya pikir Anda bisa mengetahuinya dengan bantuan.,going things feelings barely sleep nothing think worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,first thing suggest getting sleep need impact think feel look finding going well life grateful believe everyone talents wants find purpose life think figure help
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Therapy is essential for those that are feeling depressed and worthless. When I work with those that are experiencing concerns related to feeling of depression and issues with self esteem. I generally work with my client to help build coping skills to reduce level of depression and to assist with strengthening  self esteem, by guiding my client with CBT practices. CBT helps with gaining a better awareness of how your thought process influences your belief system, and how your beliefs impact your actions and the outcome of your behaviors.  This process isn’t easy but it helps teach an individual that we don’t always have control over what happens in our lives but we can control how we interpret, feel, and behave. CBT is good for individuals dealing with depression, anxiety, toxic relationships, stress, self esteem, codependency, etc.","Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri. Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.
   Saya belum pernah mencoba atau berpikir untuk bunuh diri. Saya selalu ingin memperbaiki masalah saya, tapi saya tidak pernah sempat melakukannya.
   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Terapi sangat penting bagi mereka yang merasa tertekan dan tidak berharga. Ketika saya bekerja dengan mereka yang mengalami kekhawatiran terkait perasaan depresi dan masalah harga diri. Saya biasanya bekerja dengan klien saya untuk membantu membangun keterampilan mengatasi depresi dan membantu memperkuat harga diri, dengan membimbing klien saya dengan praktik CBT. CBT membantu Anda mendapatkan kesadaran yang lebih baik tentang bagaimana proses berpikir Anda memengaruhi sistem kepercayaan Anda, dan bagaimana keyakinan Anda memengaruhi tindakan dan hasil dari perilaku Anda.  Proses ini tidak mudah namun membantu mengajarkan seseorang bahwa kita tidak selalu memiliki kendali atas apa yang terjadi dalam hidup kita, namun kita dapat mengontrol cara kita menafsirkan, merasakan, dan berperilaku. CBT baik untuk individu yang menghadapi depresi, kecemasan, hubungan beracun, stres, harga diri, kodependensi, dll.",going things feelings barely sleep nothing think worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,therapy essential feeling depressed worthless work experiencing concerns related feeling depression issues self esteem generally work client help build coping skills reduce level depression assist strengthening self esteem guiding client cbt practices cbt helps gaining better awareness thought process influences belief system beliefs impact actions outcome behaviors process isnt easy helps teach individual dont always control happens lives control interpret feel behave cbt good individuals dealing depression anxiety toxic relationships stress self esteem codependency etc
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",I first want to let you know that you are not alone in your feelings and there is always someone there to help. You can always change your feelings and change your way of thinking by being open to trying to change. You can always make yourself available to learning new things or volunteering so that you can make a purpose for yourself.,"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri. Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.
   Saya belum pernah mencoba atau berpikir untuk bunuh diri. Saya selalu ingin memperbaiki masalah saya, tapi saya tidak pernah sempat melakukannya.
   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?",Pertama-tama saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan Anda dan selalu ada seseorang yang bisa membantu. Anda selalu dapat mengubah perasaan dan mengubah cara berpikir Anda dengan bersikap terbuka untuk mencoba berubah. Anda selalu dapat menyediakan diri untuk mempelajari hal-hal baru atau menjadi sukarelawan sehingga Anda dapat membuat tujuan untuk diri Anda sendiri.,going things feelings barely sleep nothing think worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,first want let know alone feelings always someone help always change feelings change way thinking open trying change always make available learning new things volunteering make purpose
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","Heck, sure thing, hun!Feelings of 'depression' have a deeply-rooted base in physical structures that may not be functioning very well at present; and, we can certainly turn them on again using means that you are able to find around the house and with relative ease :)After that, emotional and spiritual support will be liberally applied.","Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri. Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.
   Saya belum pernah mencoba atau berpikir untuk bunuh diri. Saya selalu ingin memperbaiki masalah saya, tapi saya tidak pernah sempat melakukannya.
   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Heck, tentu saja, hun! Perasaan 'depresi' berakar kuat pada struktur fisik yang mungkin tidak berfungsi dengan baik saat ini; dan, kami pasti dapat mengaktifkannya kembali menggunakan sarana yang dapat Anda temukan di sekitar rumah dan dengan relatif mudah :) Setelah itu, dukungan emosional dan spiritual akan diberikan secara bebas.",going things feelings barely sleep nothing think worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,heck sure thing hunfeelings depression deeplyrooted base physical structures may functioning well present certainly turn using means able find around house relative ease emotional spiritual support liberally applied
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",You are exhibiting some specific traits of a particular temperament type. Seek out a counselor who provides NCCA temperament therapy and discover the joy of being you -- God loves you as you are!,"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri. Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.
   Saya belum pernah mencoba atau berpikir untuk bunuh diri. Saya selalu ingin memperbaiki masalah saya, tapi saya tidak pernah sempat melakukannya.
   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?",Anda menunjukkan beberapa ciri spesifik dari tipe temperamen tertentu. Carilah seorang konselor yang memberikan terapi temperamen NCCA dan temukan kegembiraan menjadi diri Anda sendiri -- Tuhan mengasihi Anda apa adanya!,going things feelings barely sleep nothing think worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,exhibiting specific traits particular temperament type seek counselor provides ncca temperament therapy discover joy god loves
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","That is intense. Depression is a liar. Sometimes depression places these glasses over our eyes, these dark sunglasses that change how we see things. Depression tells us things like ""you're worthless"" ""no one likes you"" ""don't worry about doing anything."" And it is so easy for us to listen and to be tricked into thinking that just because we feel something means it is true. Please know that even if you are feeling worthless right now, that doesn't mean you are worthless.The first step to working through this is recognizing what is going on. Recognizing when depression is telling you the same story (ie; being worthless) with different words (ie worthless here, worthless there) and making an effort to talk back. While I can not give you a diagnosis of depression, reading what you are going through, it sounds like you might need help to get back on track. Seeing a counselor can open an entirely new option up wherein someone who is not involved in your life can help you without judgement and with an objective perspective. This can do wonders in unwrapping these kinds of thoughts. Wishing you the absolute best!","Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri. Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.
   Saya belum pernah mencoba atau berpikir untuk bunuh diri. Saya selalu ingin memperbaiki masalah saya, tapi saya tidak pernah sempat melakukannya.
   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Itu sangat intens. Depresi adalah pembohong. Terkadang depresi menempatkan kacamata ini di atas mata kita, kacamata hitam yang mengubah cara kita melihat sesuatu. Depresi memberi tahu kita hal-hal seperti ""kamu tidak berharga"", ""tidak ada yang menyukaimu"", ""jangan khawatir untuk melakukan apa pun"". Dan sangat mudah bagi kita untuk mendengarkan dan tertipu untuk berpikir bahwa hanya karena kita merasakan sesuatu berarti hal itu benar. Ketahuilah bahwa meskipun Anda merasa tidak berharga saat ini, bukan berarti Anda tidak berharga. Langkah pertama untuk mengatasi hal ini adalah dengan mengenali apa yang sedang terjadi. Mengenali saat depresi menceritakan kisah yang sama kepada Anda (yaitu; menjadi tidak berharga) dengan kata-kata yang berbeda (yaitu tidak berharga di sini, tidak berharga di sana) dan berusaha untuk membalasnya. Meskipun saya tidak dapat memberikan Anda diagnosis depresi, membaca apa yang Anda alami, sepertinya Anda memerlukan bantuan untuk kembali ke jalur yang benar. Mengunjungi seorang konselor dapat membuka pilihan baru di mana seseorang yang tidak terlibat dalam hidup Anda dapat membantu Anda tanpa menghakimi dan dengan perspektif objektif. Hal ini dapat memberikan keajaiban dalam mengungkap pemikiran semacam ini. Semoga Anda mendapatkan yang terbaik!",going things feelings barely sleep nothing think worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,intense depression liar sometimes depression places glasses eyes dark sunglasses change see things depression tells things like youre worthless one likes dont worry anything easy listen tricked thinking feel something means true please know even feeling worthless right doesnt mean worthlessthe first step working recognizing going recognizing depression telling story worthless different words worthless worthless making effort talk back give diagnosis depression reading going sounds like might need help get back track seeing counselor open entirely new option wherein someone involved life help without judgement objective perspective wonders unwrapping kinds thoughts wishing absolute best
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",It sounds like you may be putting yourself last. You wrote that you want to fix your issues but never get around to it. I wonder how you are spending your mental and physical energy. Are you spending time taking care of and doing for others? I also wonder where the thoughts and feelings of being worthless are coming from - are you around people who treat you poorly or are hurtful? Or do you feel it is more of a worry you have but aren't really sure how others feel? It may be helpful to talk to someone about your feelings - a counselor perhaps - to clarify your feelings and move forward from se that are hurting you.,"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri. Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.
   Saya belum pernah mencoba atau berpikir untuk bunuh diri. Saya selalu ingin memperbaiki masalah saya, tapi saya tidak pernah sempat melakukannya.
   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?",Sepertinya Anda menempatkan diri Anda di urutan terakhir. Anda menulis bahwa Anda ingin memperbaiki masalah Anda tetapi tidak pernah sempat melakukannya. Saya ingin tahu bagaimana Anda menghabiskan energi mental dan fisik Anda. Apakah Anda menghabiskan waktu untuk mengurus dan melakukan sesuatu untuk orang lain? Saya juga bertanya-tanya dari mana datangnya pikiran dan perasaan tidak berharga - apakah Anda berada di sekitar orang yang memperlakukan Anda dengan buruk atau menyakitkan? Atau apakah Anda merasa ini lebih merupakan kekhawatiran Anda tetapi tidak yakin dengan perasaan orang lain? Mungkin bermanfaat untuk berbicara dengan seseorang tentang perasaan Anda - mungkin seorang konselor - untuk memperjelas perasaan Anda dan bergerak maju dari hal yang menyakiti Anda.,going things feelings barely sleep nothing think worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,sounds like may putting last wrote want fix issues never get around wonder spending mental physical energy spending time taking care others also wonder thoughts feelings worthless coming around people treat poorly hurtful feel worry arent really sure others feel may helpful talk someone feelings counselor perhaps clarify feelings move forward hurting
"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?","It must be really difficult to experience what your going through right now.  It takes a lot of courage to reach out. It sounds like you want to get better, but perhaps need some help to get over the hump.  Many of the symptoms you have described are consistent with a person who is dealing with depression.   Depression is a treatable condition.  Typically, if these symptoms have persisted for more than two weeks, then it is a good idea to seek professional help.   Someone who is trained in dealing with depression.  Initially, a comprehensive assessment would be completed to rule out any other causes for your symptoms and to determine the exact nature of your presenting concern.  Then, in collaboration with one another, a tailored treatment plan would be developed, focusing on how to best help you reach your goals.  The good news is that their is hope for getting better! You don;t have to do it alone.  Allow me to be your ally in healing.","Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri. Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.
   Saya belum pernah mencoba atau berpikir untuk bunuh diri. Saya selalu ingin memperbaiki masalah saya, tapi saya tidak pernah sempat melakukannya.
   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Pasti sangat sulit untuk mengalami apa yang Anda alami saat ini.  Dibutuhkan banyak keberanian untuk menjangkau. Sepertinya Anda ingin menjadi lebih baik, tetapi mungkin memerlukan bantuan untuk mengatasi kesulitan tersebut.  Banyak gejala yang Anda jelaskan konsisten dengan seseorang yang sedang menghadapi depresi.   Depresi adalah kondisi yang bisa diobati.  Biasanya, jika gejala ini berlanjut selama lebih dari dua minggu, sebaiknya cari bantuan profesional.   Seseorang yang terlatih dalam menghadapi depresi.  Awalnya, penilaian komprehensif akan dilakukan untuk menyingkirkan penyebab lain dari gejala Anda dan untuk menentukan sifat sebenarnya dari kekhawatiran Anda.  Kemudian, dengan bekerja sama satu sama lain, rencana perawatan yang disesuaikan akan dikembangkan, dengan fokus pada cara terbaik untuk membantu Anda mencapai tujuan Anda.  Kabar baiknya adalah harapan mereka untuk menjadi lebih baik! Anda tidak harus melakukannya sendiri.  Izinkan saya menjadi sekutu Anda dalam penyembuhan.",going things feelings barely sleep nothing think worthless shouldnt ive never tried contemplated suicide ive always wanted fix issues never get around change feeling worthless everyone,must really difficult experience going right takes lot courage reach sounds like want get better perhaps need help get hump many symptoms described consistent person dealing depression depression treatable condition typically symptoms persisted two weeks good idea seek professional help someone trained dealing depression initially comprehensive assessment would completed rule causes symptoms determine exact nature presenting concern collaboration one another tailored treatment plan would developed focusing best help reach goals good news hope getting better dont alone allow ally healing
